Player,Pos,GP,GS,Min.,G,A,Y/R,Caps/Goals
"Brian, Morgan",M,12,7,649,0,0,0/0,81/6
"Campbell, Jane",GK,1,1,67,0,0,0/0,3/0
"Colaprico, Danielle",M,2,0,59,0,0,0/0,2/0
"Dahlkemper, Abby",D,17,16,1358,0,2,0/0,30/0
"Davidson, Tierna",D,12,12,1049,1,2,1/0,12/1
"Dunn, Crystal",F,18,15,1411,2,2,2/0,75/24
"Ertz, Julie",M,16,15,1135,4,0,1/0,73/18
"Fox, Emily",D,2,2,139,0,0,0/0,2/0
"Hanson, Haley",M,1,0,50,0,0,0/0,1/0
"Harris, Ashlyn",GK,5,4,383,0,0,0/0,19/0
"Hatch, Ashley",F,1,0,10,0,0,0/0,2/0
"Heath, Tobin",F,10,8,657,7,6,2/0,142/25
"Horan, Lindsey",M,19,16,1298,3,8,0/0,62/7
"Huerta, Sofia",D,4,1,153,0,0,0/0,7/0
"Lavelle, Rose",M,13,9,687,4,1,0/0,20/6
"Lloyd, Carli",M,19,5,789,7,0,0/0,265/105
"Long, Allie",M,7,1,226,0,0,0/0,40/6
"Mace, Hailie",D,3,1,137,0,0,0/0,3/0
"Mathias, Merritt",D,1,0,13,0,0,0/0,1/0
"McCaskill, Savannah",F,6,1,157,0,0,0/0,6/0
"McDonald, Jessica",F,2,1,67,1,0,0/0,3/1
"McGrady, Tegan",D,1,0,32,0,0,0/0,1/0
"Mewis, Samantha",M,7,2,275,1,0,0/0,41/8
"Morgan, Alex",F,19,18,1500,18,3,0/0,153/98
"Naeher, Alyssa",GK,15,15,1350,0,0,0/0,38/0
"O'Hara, Kelley",D,8,8,608,0,0,0/0,112/2
"Press, Christen",F,10,4,445,2,4,0/0,106/46
"Pugh, Mallory",F,14,10,832,6,3,0/0,43/12
"Rapinoe, Megan",F,16,16,1214,7,12,0/0,145/41
"Rodriguez, Amy",F,2,0,43,0,0,0/0,132/30
"Sauerbrunn, Becky",D,14,12,1109,0,1,0/0,149/0
"Short, Casey",D,8,2,271,0,1,0/0,27/0
"Smith, Taylor",M,3,3,188,0,0,0/0,10/0
"Sonnett, Emily",D,14,9,874,0,1,1/0,26/0
"Sullivan, Andi",M,4,4,241,0,0,1/0,11/0
"Williams, Lynn",F,4,0,67,0,0,0/0,19/4
"Zerboni, McCall",M,6,2,257,0,0,0/0,7/0
